years,country,people
1910,Africa,0
1920,Africa,0
1940,Africa,0
1950,Africa,0
1960,Africa,0
1970,Africa,12
2000,Africa,733
1910,Asia,0
1920,Asia,0
1940,Asia,32
1950,Asia,27
1960,Asia,0
1970,Asia,0
2000,Asia,"1,310"
1910,Armenia,0
1920,Armenia,22
1940,Armenia,0
1950,Armenia,0
1960,Armenia,0
1970,Armenia,0
2000,Armenia,0
1910,Argentina,0
1920,Argentina,0
1940,Argentina,0
1950,Argentina,0
1960,Argentina,0
1970,Argentina,0
2000,Argentina,12
1910,Austria,52
1920,Austria,26
1940,Austria,19
1950,Austria,12
1960,Austria,31
1970,Austria,6
2000,Austria,0
1910,Barbados,0
1920,Barbados,0
1940,Barbados,0
1950,Barbados,0
1960,Barbados,0
1970,Barbados,0
2000,Barbados,21
1910,Brazil,0
1920,Brazil,0
1940,Brazil,0
1950,Brazil,0
1960,Brazil,0
1970,Brazil,0
2000,Brazil,"1,452"
1910,Belgium,0
1920,Belgium,0
1940,Belgium,11
1950,Belgium,0
1960,Belgium,0
1970,Belgium,0
2000,Belgium,0
1910,Bolivia,0
1920,Bolivia,0
1940,Bolivia,0
1950,Bolivia,0
1960,Bolivia,0
1970,Bolivia,0
2000,Bolivia,6
1910,Caribbean,0
1920,Caribbean,0
1940,Caribbean,0
1950,Caribbean,0
1960,Caribbean,0
1970,Caribbean,0
2000,Caribbean,649
1910,Canada,4034
1920,Canada,2421
1940,Canada,"2,141"
1950,Canada,"1,722"
1960,Canada,"2,849"
1970,Canada,454
2000,Canada,133
1910,Cambodia,0
1920,Cambodia,0
1940,Cambodia,0
1950,Cambodia,0
1960,Cambodia,0
1970,Cambodia,0
2000,Cambodia,55
1910,Chile,0
1920,Chile,0
1940,Chile,0
1950,Chile,0
1960,Chile,0
1970,Chile,0
2000,Chile,40
1910,China,0
1920,China,0
1940,China,0
1950,China,0
1960,China,0
1970,China,15
2000,China,227
1910,Costa Rica,0
1920,Costa Rica,0
1940,Costa Rica,0
1950,Costa Rica,0
1960,Costa Rica,0
1970,Costa Rica,0
2000,Costa Rica,40
1910,Colombia,0
1920,Colombia,0
1940,Colombia,0
1950,Colombia,0
1960,Colombia,0
1970,Colombia,0
2000,Colombia,"2,906"
1910,Cuba,0
1920,Cuba,0
1940,Cuba,3
1950,Cuba,0
1960,Cuba,0
1970,Cuba,27
2000,Cuba,7
1910,Czechoslovakia,0
1920,Czechoslovakia,0
1940,Czechoslovakia,0
1950,Czechoslovakia,4
1960,Czechoslovakia,29
1970,Czechoslovakia,0
2000,Czechoslovakia,11
1910,Denmark,0
1920,Denmark,47
1940,Denmark,24
1950,Denmark,16
1960,Denmark,0
1970,Denmark,0
2000,Denmark,0
1910,Ecuador,0
1920,Ecuador,0
1940,Ecuador,0
1950,Ecuador,0
1960,Ecuador,0
1970,Ecuador,0
2000,Ecuador,23
1910,Eire,0
1920,Eire,0
1940,Eire,555
1950,Eire,0
1960,Eire,0
1970,Eire,0
2000,Eire,0
1910,England,833
1920,England,484
1940,England,254
1950,England,159
1960,England,0
1970,England,0
2000,England,0
1910,Egypt,0
1920,Egypt,0
1940,Egypt,0
1950,Egypt,0
1960,Egypt,0
1970,Egypt,0
2000,Egypt,65
1910,Europe,0
1920,Europe,0
1940,Europe,0
1950,Europe,0
1960,Europe,0
1970,Europe,0
2000,Europe,"1,673"
1910,France,27
1920,France,24
1940,France,30
1950,France,26
1960,France,0
1970,France,11
2000,France,11
1910,Finland,0
1920,Finland,0
1940,Finland,75
1950,Finland,51
1960,Finland,0
1970,Finland,7
2000,Finland,0
1910,Germany,177
1920,Germany,84
1940,Germany,46
1950,Germany,53
1960,Germany,88
1970,Germany,63
2000,Germany,32
1910,Ghana,0
1920,Ghana,0
1940,Ghana,0
1950,Ghana,0
1960,Ghana,0
1970,Ghana,0
2000,Ghana,6
1910,Greece,0
1920,Greece,22
1940,Greece,101
1950,Greece,83
1960,Greece,0
1970,Greece,62
2000,Greece,22
1910,Guatemala,0
1920,Guatemala,0
1940,Guatemala,0
1950,Guatemala,0
1960,Guatemala,0
1970,Guatemala,0
2000,Guatemala,617
1910,Guyana,0
1920,Guyana,0
1940,Guyana,0
1950,Guyana,0
1960,Guyana,0
1970,Guyana,0
2000,Guyana,5
1910,Haiti,0
1920,Haiti,0
1940,Haiti,0
1950,Haiti,0
1960,Haiti,0
1970,Haiti,0
2000,Haiti,15
1910,Honduras,0
1920,Honduras,0
1940,Honduras,0
1950,Honduras,0
1960,Honduras,0
1970,Honduras,0
2000,Honduras,261
1910,Hungary,0
1920,Hungary,0
1940,Hungary,2
1950,Hungary,7
1960,Hungary,8
1970,Hungary,0
2000,Hungary,0
1910,Ireland,1470
1920,Ireland,855
1940,Ireland,52
1950,Ireland,362
1960,Ireland,"1,066"
1970,Ireland,60
2000,Ireland,45
1910,India,0
1920,India,0
1940,India,0
1950,India,0
1960,India,0
1970,India,0
2000,India,26
1910,Italy,935
1920,Italy,"1,560"
1940,Italy,"10,145"
1950,Italy,"7,121"
1960,Italy,"18,442"
1970,Italy,"4,395"
2000,Italy,996
1910,Indonesia,0
1920,Indonesia,0
1940,Indonesia,0
1950,Indonesia,0
1960,Indonesia,0
1970,Indonesia,0
2000,Indonesia,10
1910,Iraq,0
1920,Iraq,0
1940,Iraq,0
1950,Iraq,0
1960,Iraq,0
1970,Iraq,0
2000,Iraq,6
1910,Jamaica,0
1920,Jamaica,0
1940,Jamaica,0
1950,Jamaica,0
1960,Jamaica,0
1970,Jamaica,0
2000,Jamaica,8
1910,Japan,0
1920,Japan,0
1940,Japan,0
1950,Japan,0
1960,Japan,0
1970,Japan,0
2000,Japan,21
1910,Korea,0
1920,Korea,0
1940,Korea,0
1950,Korea,0
1960,Korea,0
1970,Korea,0
2000,Korea,27
1910,Northern Ireland,0
1920,Northern Ireland,0
1940,Northern Ireland,0
1950,Northern Ireland,4
1960,Northern Ireland,492
1970,Northern Ireland,138
2000,Northern Ireland,64
1910,Laos,0
1920,Laos,0
1940,Laos,0
1950,Laos,0
1960,Laos,0
1970,Laos,0
2000,Laos,11
1910,Lebanon,0
1920,Lebanon,0
1940,Lebanon,0
1950,Lebanon,0
1960,Lebanon,0
1970,Lebanon,0
2000,Lebanon,14
1910,Lithuania,0
1920,Lithuania,2
1940,Lithuania,31
1950,Lithuania,15
1960,Lithuania,0
1970,Lithuania,0
2000,Lithuania,0
1910,Mexico,0
1920,Mexico,0
1940,Mexico,0
1950,Mexico,1
1960,Mexico,11
1970,Mexico,0
2000,Mexico,725
1910,Newfoundland,0
1920,Newfoundland,431
1940,Newfoundland,470
1950,Newfoundland,0
1960,Newfoundland,0
1970,Newfoundland,0
2000,Newfoundland,0
1910,Nicaragua,0
1920,Nicaragua,0
1940,Nicaragua,0
1950,Nicaragua,0
1960,Nicaragua,0
1970,Nicaragua,0
2000,Nicaragua,33
1910,Norway,131
1920,Norway,122
1940,Norway,105
1950,Norway,65
1960,Norway,70
1970,Norway,18
2000,Norway,0
1910,Netherlands,0
1920,Netherlands,0
1940,Netherlands,5
1950,Netherlands,5
1960,Netherlands,0
1970,Netherlands,0
2000,Netherlands,24
1910,Nigeria,0
1920,Nigeria,0
1940,Nigeria,0
1950,Nigeria,0
1960,Nigeria,0
1970,Nigeria,0
2000,Nigeria,39
1910,Panama,0
1920,Panama,0
1940,Panama,0
1950,Panama,0
1960,Panama,0
1970,Panama,0
2000,Panama,19
1910,Philippines,0
1920,Philippines,0
1940,Philippines,0
1950,Philippines,0
1960,Philippines,0
1970,Philippines,0
2000,Philippines,17
1910,Peru,0
1920,Peru,0
1940,Peru,0
1950,Peru,0
1960,Peru,0
1970,Peru,0
2000,Peru,578
1910,Poland,0
1920,Poland,67
1940,Poland,76
1950,Poland,48
1960,Poland,116
1970,Poland,37
2000,Poland,6
1910,Portugal,214
1920,Portugal,198
1940,Portugal,376
1950,Portugal,0
1960,Portugal,0
1970,Portugal,89
2000,Portugal,55
1910,Rumania,0
1920,Rumania,0
1940,Rumania,7
1950,Rumania,5
1960,Rumania,0
1970,Rumania,0
2000,Rumania,0
1910,Russia,1281
1920,Russia,255
1940,Russia,233
1950,Russia,0
1960,Russia,0
1970,Russia,0
2000,Russia,23
1910,Salvador,0
1920,Salvador,0
1940,Salvador,0
1950,Salvador,0
1960,Salvador,0
1970,Salvador,0
2000,Salvador,"4,767"
1910,Scotland,194
1920,Scotland,123
1940,Scotland,59
1950,Scotland,38
1960,Scotland,0
1970,Scotland,0
2000,Scotland,0
1910,Spain,0
1920,Spain,0
1940,Spain,0
1950,Spain,0
1960,Spain,0
1970,Spain,0
2000,Spain,72
1910,Sweden,220
1920,Sweden,251
1940,Sweden,85
1950,Sweden,49
1960,Sweden,100
1970,Sweden,0
2000,Sweden,0
1910,Switzerland,0
1920,Switzerland,0
1940,Switzerland,1
1950,Switzerland,0
1960,Switzerland,0
1970,Switzerland,21
2000,Switzerland,0
1910,Syria,0
1920,Syria,13
1940,Syria,0
1950,Syria,0
1960,Syria,0
1970,Syria,0
2000,Syria,7
1910,U.S.S.R.,0
1920,U.S.S.R.,0
1940,U.S.S.R.,0
1950,U.S.S.R.,117
1960,U.S.S.R.,182
1970,U.S.S.R.,23
2000,U.S.S.R.,33
1910,Venezuela,0
1920,Venezuela,0
1940,Venezuela,0
1950,Venezuela,0
1960,Venezuela,0
1970,Venezuela,0
2000,Venezuela,30
1910,Vietnam,0
1920,Vietnam,0
1940,Vietnam,0
1950,Vietnam,0
1960,Vietnam,0
1970,Vietnam,0
2000,Vietnam,809
1910,Thailand,0
1920,Thailand,0
1940,Thailand,0
1950,Thailand,0
1960,Thailand,0
1970,Thailand,0
2000,Thailand,11
1910,Turkey,14
1920,Turkey,0
1940,Turkey,0
1950,Turkey,0
1960,Turkey,0
1970,Turkey,0
2000,Turkey,26
1910,Yugoslavia,0
1920,Yugoslavia,0
1940,Yugoslavia,0
1950,Yugoslavia,1
1960,Yugoslavia,0
1970,Yugoslavia,0
2000,Yugoslavia,7
1910,Oceania,0
1920,Oceania,0
1940,Oceania,0
1950,Oceania,0
1960,Oceania,0
1970,Oceania,0
2000,Oceania,5
1910,Other countries,282
1920,Other countries,230
1940,Other countries,29
1950,Other countries,0
1960,Other countries,0
1970,Other countries,9
2000,Other countries,0
1910,Not reported,0
1920,Not reported,0
1940,Not reported,0
1950,Not reported,36
1960,Not reported,"1,062"
1970,Not reported,190
2000,Not reported,0